path,sha256,bytes,status,owner,source_inputs,license,tool_version
.gitignore,c893c2eb13333341a65d2959b2c1c34825b83375e8ff8c09b0cf18f12edba41d,2636,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL.umap,50d3f6f9e983876cb83e9a76daf1a5f6ee4e2e13d3d1d60aa51914955af2cf74,13499,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL_HLODLayer_Instanced.uasset,7b75762b46ea746fcd3ce4e8f81d01f6be313c208226887fa173aedad5ec975a,2202,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL_HLODLayer_Merged.uasset,9ab8b68edb23f3b4a8cd7d75909a16b5d39903688406411d11d32dc13aa9c131,3459,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/Canton/Provisional/Terrain/MI_Diagnostic_PROVISIONAL.uasset,7922900a0727d2ecf22bdb0e5bc1cefea8c8fe1d0b4e07684545076289dcbe73,6318,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/Canton/Provisional/Terrain/M_Diagnostic_PROVISIONAL.uasset,f8b7c954f398794a3b761752c875a7301bde8e597c340f8b437b7c5c18a535c3,8823,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/Canton/Provisional/Terrain/M_GateMarkers_PROVISIONAL.uasset,a544114cd8d5f5b8611e382e606ce41565bc7981a05b337a4181a0563db455cf,9586,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/Canton/Provisional/Terrain/M_WallMarkers_PROVISIONAL.uasset,30b93e1a73e0f8ec0b580f88a88779bfb50dbe9eaeade596d6cb4ecdeb9f7c3f,9446,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/0C/C3NW92RRPHGTTWTYRWUCD9.uasset,f4993ee730f853f6e78393b38d3a7aff2e3dc13f470ab857247ec73bbb90cc3b,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/16/X5NS9MTAN2U01G5QEFTFYW.uasset,754f5c202841808215f3e63083f8f4c246989d459c1f6e7f97b514701c98e653,4432,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
Content/__ExternalActors__/Canton/Provisional/Maps/L_Canton_WalledCity_PROVISIONAL/0/1I/9PQAO65M32N8NXH1QJ0JC3.uasset,bb6eaaefed6aebd21e8138fcdd528515fab5dbbcbc8924d5722f11a059ed2266,4434,Provisional technical; historical acceptance excluded,AuraProj terrain,ELEV-002; MAP-001; OSM-001; prototype contract; repository tooling,Project-authored; DTM CC BY 4.0; map public domain; OSM-derived overlay ODbL,UE 5.5.4 CL 40574608; pinned terrain Python environment
