artifact_id,owner,path,sha256,source_inputs,generator_tool_version,license_status,status,notes
TERRAIN-001,AuraProj terrain,Docs/Terrain_Baseline.md,d397e1574505780db515bb45121fb2d90cd89d607957353830c5dca9bac9920b,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-002,AuraProj terrain,Docs/Terrain_Acceptance_Budget.md,f69ee956cb491737ee746aacb6873755a1ea2b190b0b400b7a8332f03e1e0dc2,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-003,AuraProj terrain,Data/Source_Register.csv,24a8967a409364ba6c898f37b7264b087f1a82ea81ddf01d750b94774cb2667e,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-004,AuraProj terrain,Data/Coordinate_Contract.json,3bdb4fd96f67b087641dfb4c65f5cd71d0bd82687d8b15fc7753dbec022cba2d,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-005,AuraProj terrain,QA/PCG_Preflight.md,cc54d997e865e04fa099ecef983edde34989dad1c15ebc940661c248c4b07212,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-006,AuraProj terrain,Sources/HistoricMaps/README.md,33158ce444bd7028d79374001490c0f1ddc6a7de7cdd55e78443ead4acfc2c69,MAP-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,no known copyright restrictions / public domain mark,Provisional,Source status is separate from historical metric acceptance
TERRAIN-007,AuraProj terrain,Sources/HistoricMaps/Canton_Vrooman_BritishLibrary_001954731.jpg,ebab90db8e25cd87fea7ac4e5e6d3d2e45e4659fb35bff6b509aba6f62406bd7,MAP-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,no known copyright restrictions / public domain mark,Verified source acquisition,Source status is separate from historical metric acceptance
TERRAIN-008,AuraProj terrain,Data/Historic_Map_Selection.md,c80de99422d968cdd26c4a63d623c4607006923b8631ace3dc2d012fdfd17d85,MAP-001;OSM-001,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,derived from public-domain map and ODbL candidate coordinates,Verified source acquisition,Source status is separate from historical metric acceptance
TERRAIN-009,AuraProj terrain,Data/Landmark_Candidates.csv,061486ab725d36931cf36f618e9b0e01c769be754db1cf589dba52d2267b7843,repository plans and registered sources,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored; sources cited,Provisional,Source status is separate from historical metric acceptance
TERRAIN-010,AuraProj terrain,Data/Gate_Asset_Inventory.csv,a5e42c4f3ae01c3dd3fd838c2c79ac349ada1c6f8be3b7dc49a146e745257d97,repository UE gate packages and cited audit records,Codex / Python 3.9.6; rasterio 1.4.3 for rasters,project-authored asset observations,Provisional,Source status is separate from historical metric acceptance
